PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2018;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
BENU SK 63, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;651,00;;;
BENU SK 62, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;180,00;;192,32;;;
BENU SK 67, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;433,20;;1 054,22;;;
Sanimat SK s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Medimex SK s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Apocare s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PASCOE Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;16 473,00;5 794,00;1 220,00;2 000,00;;
Santen Oy, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;14 029,00;
INLEK;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;2 265,00;;;;;
PJ Trade s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;923,51;;;;;
BENU SK 23, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 2, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 773,86;;;
URSAPHARM spol. s r.o., organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;22 456,70;0,00;;;;
Berlin-Chemie / A. Menarini Distribution Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 27, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 327,99;;;
BENU SK 72, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 81, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;135,00;;2 000,90;;;
BENU SK 73, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;120,00;;2 293,71;;;
BENU SK 79, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 153,58;;;
BENU SK 78, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;125,40;;1 126,11;;;
BENU SK 80, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 76, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;206,40;;770,39;;;
BENU SK 74, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;156,00;;330,00;;;
BENU SK 70, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 507,75;;;
BENU SK 71, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;420,58;;;
Theopharm s.r.o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
PRÍRODNÁ LEKÁREŇ s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Toplek;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;5 046,00;;;;;
CSL BEHRING Slovakia;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;50 404,00;0,00;4 570,00;;51 544,84;5 600,00
Medavit;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;;;;;40,00;
BALAMEDICAL s.r.o.;Jablonové;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Amicus Pharma s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Comoda s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
univerzitná lekáreň UVLF;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
MARCOM, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekareň Dália;Vinné;Okres Michalovce;Košický kraj;0,00;0,00;;;;
PHARMAVIT spol. s r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICENTRUM, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
NIPOl, spol. s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;399,84;0,00;;;;
FERUMI spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;6 783,94;0,00;;6 783,94;;
Lekáreň na Miklovkách s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň SIMBA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SUISSE PHARMACIA, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SLOVPOL Krompachy s.r.o.;Krompachy;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
SyndiPharma, s.r.o. Košice;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMEDIA spoločnosť s ručením obmedzeným Košice;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMSTORE spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň DOM ZDRAVIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
KONEX MEDIK, spol. s r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;200,00;;;;;
Lekáreň L. PASTEURA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ASH s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;50 160,00;;;;;
Lekáreň Na Tarči;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;;;;;;
Ing. Benasová Agnesa;Košice - Sídlisko Ťahanovce;Okres Košice I;Košický kraj;0,00;0,00;;;;
ASTEN spol. s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 630,00;0,00;;1 630,00;;
DRUG PHARMA, spol s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Vysoká pri Morave s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Bio G Medipharma s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;228,80;0,00;;;;
Lekáreň MAX TT, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EUROPHARMA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Heyduková,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MIRAKL PHARMA,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň TEHELNÁ, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Trnávka s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň OPTIMA KE, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň PRED NEMOCNICOU MT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň POPRAD, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;6 000,00;0,00;;6 000,00;;
EURO FARMÁCIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň CENTRUM GA, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň CENTRO, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň HORNÁD SN, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;900,00;0,00;900,00;;;
Lekáreň Krompachy,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Medirea s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
smile, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;;;;
Markont-n, s.r.o.;Rožňava;Okres Rožňava;Košický kraj;73,17;;;;;
Evison spol. s.r.o,;Ruskov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
PPK s.r.o.;Turňa nad Bodvou;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Novozit s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň DANUBIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
AVION Real;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
Drugcomfort s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Poliklinika západ s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDI/STAV sro;Trebišov;Okres Trebišov;Košický kraj;;;;;;
Pharma-Meda s.r.o;Košice - Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň na poloklinike s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
Pharmax LH s.r.o;Veľké Kapušany;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Valo s.r.o;Veľká Ida;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
TRUSTY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
KVAPKAZDRAVIA spol. s r.o.;Kráľovský Chlmec;Okres Trebišov;Košický kraj;;;;;;
PHARMAKRAFT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BRL Slovakia s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Pharmafit s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Medisell s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Medicomfort s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
DRUGPLANT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
STARLINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
REDMOON,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
HEALTH-LINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 488,50;0,00;;;;
PHARMASHOP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Atrium SNV, s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
CASTILION s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Čakanka sro;Košice - Staré Mesto;Okres Košice I;Košický kraj;;;;;;
Prameň Zdrav spol. s r.o.;Valaliky;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Lekáreň BS, s r.o.;Košice - Západ;Okres Košice II;Košický kraj;300,00;0,00;;300,00;;
Lekáreň V Kauflande BB s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň SNINA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň NZ, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;450,00;0,00;450,00;;;
lekaren Valeriana sro;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Zdravie pri práci s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;1 532,13;0,00;;;;
Železničná Lekáreň s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lingov, s.r.o.;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
Cassoviapharm s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;600,00;;;;;
LEKÁREŇ - NÁRODNÁ žILINA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
LEKÁREŇ - HLAVNÁ ŠAĽA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň u Premonštrátov, s.r.o.;Jasov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
CS Pharma s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Lekáreň PHARMACY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
HEALTHSTORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
BLUE-CROSS s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICATE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DRUGMARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MED-STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDICABLE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
IMPROVE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SANATIVE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RECEPIS s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICAMENT s.r.o.;Ždaňa;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Lekáreň BONUS s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
HEALTH CENTRUM s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Elixirpharm, s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Mgr.František Horňák;Sobrance;Okres Sobrance;Košický kraj;0,00;0,00;;;;
ARTKE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;;;;
Lekáreň 16, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 500,00;0,00;;1 500,00;;
Lekáreň 17, s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;5 250,00;0,00;1 400,00;3 850,00;;
REFARM s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň 18, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Red-pharmacy, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;2,45;0,00;;;;
Sun-care, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;2,23;0,00;;;;
GREEN-MARKET s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RED-DROP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EXPIRO s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
STADUS s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Green-pharmacy, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;3,53;0,00;;;;
Pharmacy - Market s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RED-MARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DROP-STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
GREEN DROP,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MOONLINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
GREEN-ROAD s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
IMMUNO-PHARMA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
IMMUNO-STAR s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
GREEN-STRAP s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
FIRST-STRORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Abc-store, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;3,60;;;;;
NATURAL-DROP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
NATURAL STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekand, s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;;;;;;
BODY-STAR s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RED - STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PILL MARKET, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DRUG-CITY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PILL STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;581,00;0,00;;;;
Blue - Strap s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Natural-care, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;2,23;0,00;;;;
NATURAL-MARKET s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BLUE-STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Si Pharma s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň 20, s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;2 000,00;0,00;;1 900,00;;
SOLANUM? s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
KALT, s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
SECRETEX s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MONIQ, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;37,20;0,00;;;;
VERBO s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň sv. Agáty, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EKSEN s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BUTYKS s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BORSI, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
TEMPEL s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;1 600,00;0,00;;1 600,00;;
TORNA, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Needham s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDIJOMA;Strážske;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Hillrose s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Timphu;Košice - Západ;Okres Košice II;Košický kraj;304,00;0,00;;;;
COOL LIFE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SAVE LIFE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
STRONG LIFE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDECINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ACIDUS, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
NEW-FIRST s.r.o;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Codrington s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 19 s.r.o.;Košice - Vyšné Opátske;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 20 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 23 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 000,00;0,00;;1 000,00;;
Dr.Max 21 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 18 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 13 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;466,92;0,00;;;;
Dr.Max 7 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;8 196,00;0,00;;8 196,00;;
Dr.Max 15 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 14 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 17 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 9 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 200,00;0,00;;1 200,00;;
Dr. MAX 10 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 8, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr. Max 22 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 11 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 5 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 12 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;3 000,00;0,00;;3 000,00;;
Dr.Max 6 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr. Max 4 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 28 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 3 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 26 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 2 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 30 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr. Max 1 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 27 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 25 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 29 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 16 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
wesper pharm, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD1 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD23 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD3 s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;4 500,00;;;4 500,00;;
SD21 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD4 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;3 500,00;0,00;;3 500,00;;
SD 5 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD34 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD33 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD31 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD25 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;3 750,00;0,00;250,00;3 500,00;;
SD29 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD28 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD30 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD6 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Sd7 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD10 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;8 100,00;0,00;;8 100,00;;
SD12 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD13, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD14 s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;4 500,00;0,00;;4 500,00;;
SD16 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD18 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMACY III, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMACY X, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
PHARMACY XIV. s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Cassopharm;Košice - Šaca;Okres Košice II;Košický kraj;0,00;;;;;
Madicor, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;133,10;0,00;;6 434,00;;
FEROX, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;900,00;0,00;900,00;;;
Omrvinka s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
TvMedica, s.r.o.;Trebišov;Okres Trebišov;Košický kraj;10 800,00;;;;;
Mild Cure One s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Mild Cure Six,s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Mild Cure Three, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Mild Cure Four, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;706,03;0,00;;;;
Mild Cure Five, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 704 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 703 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Bella Donna s. r. o.;Košice - Západ;Okres Košice II;Košický kraj;1 500,00;0,00;;1 500,00;;
Dr.Max 134T s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;509,92;0,00;;;;
Dr.Max 602 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 628 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 626 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 630 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 500,00;0,00;;1 500,00;;
Dr.Max 623 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 627 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;509,64;0,00;;;;
