PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
BENU SK 39,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 39,  s. r. o.;;;5 979,21;;;
BENU SK 13, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 13, s. r. o.;;;2 604,88;;;
BENU SK 10, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 10, s. r. o.;2 185,20;;2 883,97;;;
BENU SK 22, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 22, s. r. o.;60,00;;545,81;;;
BENU SK 20, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 20, s. r. o.;140,00;;;;;
BENU SK 9, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 9, s. r. o.;28,10;;1 740,55;;;
BENU SK 30,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 30,  s. r. o.;92,00;;1 911,42;;;
BENU SK 33,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 33,  s. r. o.;30,00;;1 728,99;;;
BENU SK 11, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 11, s. r. o.;324,00;;1 101,97;;;
BENU SK 21, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 21, s. r. o.;30,00;;6 208,32;;;
PharmConsult s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;PharmConsult s.r.o.;12 620,00;72 433,00;38 340,00;;;
S&D Pharma CZ, spol. s r.o. - organizačná zložka SR;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;S&D Pharma CZ, spol. s r.o. - organizačná zložka SR;1 211,18;1 440,00;;200,00;;
S&D Pharma CZ, spol. s r.o. - organizačná zložka SR;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;ImunomedicA a.s., Chuderov 118, 400 02 Ústí nad Labem, Česká republika;0,00;0,00;;7 265,00;;
Sunlight Pharmacy 05, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Sunlight Pharmacy 05, s.r.o.;1 486,00;0,00;;;;
COMPOSTELA s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;COMPOSTELA s.r.o.;0,00;0,00;;;;
BSC Logistics s. r. o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;BSC Logistics s. r. o.;0,00;0,00;;;;
BENU SK 88, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 88, s.r.o.;10,00;;3 971,31;;;
Gilead Sciences Slovakia s. r. o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Gilead Sciences Slovakia s. r. o.;4 120,99;2 027,17;2 765,86;1 400,00;941,54;
Gilead Sciences Slovakia s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Gilead Sciences Ireland UC Carrigtohill, County Cork, T45 DP77, Írsko, 2.Kite Pharma EU B.V. Science Park 408, 1098 XH Amsterdam, Holandsko;0,00;0,00;;;;
BENU SK 86,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 86,  s. r. o.;20,00;;291,95;;;
ALK Slovakia, s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;ALK Slovakia, s.r.o.;85 156,00;32 967,00;24 011,80;1 000,00;7 063,01;
BENU Slovensko, a.s.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU Slovensko, a.s.;190 486,90;;;;;
BGP Products, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;BGP Products, s.r.o.;222 503,09;0,00;70 310,00;15 300,00;6 703,41;
BENU SK 87, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 87, s.r.o.;30,00;;2 582,62;;;
BENU SK 53,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 53,  s. r. o.;20,00;;1 617,86;;;
BIODRUG s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;BIODRUG s.r.o.;0,00;;;;;
Lekáreň Tyrnavia s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Lekáreň Tyrnavia s.r.o.;99,60;;;;;
Amomed Pharma GmbH, organizačná zložka;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Amomed Pharma GmbH, organizačná zložka;3 700,00;2 740,00;;;;
Medimed s.r.o.;Senec;Bratislavský kraj;Okres Senec;Medimed s.r.o.;0,00;0,00;;;;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Angelini Pharma Slovenská republika s.r.o.;380 846,13;424 831,29;29 500,00;8 753,00;21 231,69;
BENU SK 54,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 54,  s. r. o.;10,00;;3 796,96;;;
BENU SK 55,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 55,  s. r. o.;30,00;;400,96;;;
Apotheke03 s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Apotheke03 s.r.o.;819,60;;;;;
BENU SK 8, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 8, s. r. o.;40,80;;1 559,79;;;
Apotheke01 s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Apotheke01 s.r.o.;99,60;;;;;
PopradPharm s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PopradPharm s. r. o.;999,60;;;;;
Custom-Pharma s.r.o;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Custom-Pharma s.r.o;0,00;0,00;;;;
Apotheke06 s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Apotheke06 s.r.o.;99,60;;;;;
Xantis Pharma s. r. o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Xantis Pharma s. r. o.;71 971,67;21 410,08;41 950,00;2 910,00;;
Skyfall investment, a.s.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Skyfall investment, a.s.;7 239,80;0,00;;;;
Lekáreň Íris;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Lekáreň Íris;680,00;0,00;;;;
Lekáreň-Zdravotnícke pomôcky s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Lekáreň-Zdravotnícke pomôcky s.r.o.;0,00;0,00;;;;
ProFound Bratislava, s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;ProFound Bratislava, s.r.o.;10 000,00;1 025 793,34;;;;
VULM s.r.o.;Bratislava - Vajnory;Bratislavský kraj;Okres Bratislava III;VULM s.r.o.;1 558,80;0,00;;;;
MojeLIEKY.sk s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;MojeLIEKY.sk s.r.o.;0,00;0,00;;;;
Allergan SK s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Allergan SK s.r.o.;23 201,20;0,00;;12 324,83;;
BENU SK 58,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 58,  s. r. o.;20,00;;240,00;;;
BENU SK 59,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 59,  s. r. o.;1 457,70;;1 008,00;;;
BENU SK 60,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 60,  s. r. o.;8 857,75;;72,98;;;
BENU SK 63,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 63,  s. r. o.;20,00;;2 370,96;;;
BENU SK 62,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 62,  s. r. o.;20,00;;382,00;;;
BENU SK 67,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 67,  s. r. o.;33,33;;1 740,62;;;
BENU SK 65,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 65,  s. r. o.;577,80;;957,40;;;
Biocare s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Biocare s.r.o.;99,60;;;;;
Santen OY, organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Santen OY, organizačná zložka;1 620,00;;;;;
INLEK;Bratislava - Vrakuňa;Bratislavský kraj;Okres Bratislava II;INLEK;8 019,95;;;;;
P.J.Trade s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;P.J.Trade s.r.o.;8 017,00;0,00;;;;
Theramex Slovakia s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Theramex Slovakia s.r.o.;14 034,80;12 478,40;;;773,96;
BENU SK 23, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 23, s. r. o.;55,44;;;;;
BENU SK 2, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 2, s.r.o.;1 204,87;;1 045,38;;;
URSAPHARM spol. s r.o., organizačná zložka;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;URSAPHARM spol. s r.o., organizačná zložka;36 178,00;0,00;;;;
Ravapharm BR, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Ravapharm BR, s.r.o.;5 998,00;0,00;;;;
Berlin-Chemie / A. Menarini Distribution Slovakia s. r. o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Berlin-Chemie / A. Menarini Distribution Slovakia s. r. o.;55 244,00;49 488,76;25 985,00;132 603,00;7 537,63;6 653,30
BENU SK 27,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 27,  s. r. o.;132,00;;3 805,17;;;
BENU SK 72,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 72,  s. r. o.;30,00;;519,80;;;
BENU SK 81,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 81,  s. r. o.;;;431,11;;;
BENU SK 75,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 75,  s. r. o.;736,50;;466,16;;;
BENU SK 82,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 82,  s. r. o.;;;5 748,86;;;
BENU SK 73,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 73,  s. r. o.;120,00;;2 059,28;;;
BENU SK 85,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 85,  s. r. o.;1 888,20;;5 097,51;;;
BENU SK 84,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 84,  s. r. o.;1 820,00;;3 219,61;;;
BENU SK 79,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 79,  s. r. o.;206,00;;3 617,40;;;
BENU SK 78,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 78,  s. r. o.;;;1 818,27;;;
BENU SK 77,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 77,  s. r. o.;960,00;;;;;
BENU SK 83,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 83,  s. r. o.;;;954,39;;;
BENU SK 80,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 80,  s. r. o.;1 173,00;;;;;
BENU SK 76,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 76,  s. r. o.;2 156,00;;8 980,90;;;
BENU SK 74,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 74,  s. r. o.;10,00;;1 680,37;;;
BENU SK 70,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 70,  s. r. o.;62,88;;;;;
BENU SK 71,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 71,  s. r. o.;;;252,16;;;
BENU SK 69,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 69,  s. r. o.;692,61;;792,65;;;
Toplek s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Toplek s.r.o.;1 975,00;0,00;;;;
Lekáreň Urban s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Lekáreň Urban s.r.o.;;;;;;
CSL Behring Slovakia s.r.o. ;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;CSL Behring Slovakia s.r.o. ;165 000,00;;750,00;;480,00;
BALAMEDICAL s.r.o.;Jablonové;Bratislavský kraj;Okres Malacky;BALAMEDICAL s.r.o.;0,00;0,00;;;;
Ravapharm MT, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Ravapharm MT, s.r.o.;5 393,00;0,00;;;;
Galenoderm s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Galenoderm s.r.o.;494 824,30;;700,00;;;
Swixx Biopharma s. r. o.*;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Swixx Biopharma s. r. o.*;;2 949,60;6 990,00;;19,62;
Comoda s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Comoda s.r.o.;0,00;0,00;;;;
BENU SK 100, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 100, s.r.o.;772,80;;874,28;;;
BENU SK 94, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 94, s.r.o.;325,80;;1 889,36;;;
BENU SK 93, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 93, s.r.o.;2 990,20;;1 563,74;;;
BENU SK 102, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 102, s.r.o.;712,40;;206,70;;;
BENU SK 89, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 89, s.r.o.;30,00;;;;;
BENU SK 91, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 91, s.r.o.;124,80;;;;;
BENU SK 90, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 90, s.r.o.;3 606,80;;;;;
BENU SK 92, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 92, s.r.o.;30,00;;1 341,28;;;
Alcon Pharmaceuticals (Czech Republic) s.r.o. - organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Alcon Pharmaceuticals (Czech Republic) s.r.o. - organizačná zložka;0,00;0,00;4 200,00;;;
DR THEISS SK s.r.o;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;DR THEISS SK s.r.o;5 394,05;104 240,54;;31 644,00;;
Pills s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Pills s.r.o.;0,00;0,00;;;;
Apotheke10 s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Apotheke10 s. r. o.;885,00;;;;;
"
Ipsen Pharma, organizačná zložka

";Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;"
Ipsen Pharma, organizačná zložka

";;6 094,00;;8 000,00;4 048,00;
univerzitná lekáreň UVLF;Košice - Sever;Košický kraj;Okres Košice I;univerzitná lekáreň UVLF;0,00;0,00;;;;
MARCOM spol. s r.o.;Košice - Západ;Košický kraj;Okres Košice II;MARCOM spol. s r.o.;1 190,00;;;1 190,00;;
PHARMAVIT spol. s r. o.;Košice - Juh;Košický kraj;Okres Košice IV;PHARMAVIT spol. s r. o.;0,00;0,00;;;;
NIPOL, spol. s r.o.;Košice - Juh;Košický kraj;Okres Košice IV;NIPOL, spol. s r.o.;0,00;0,00;;;;
FERUMI spol. s r.o.;Košice - Juh;Košický kraj;Okres Košice IV;FERUMI spol. s r.o.;8 940,00;0,00;;8 940,00;;
Lekáreň NA MIKLOVKÁCH s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň NA MIKLOVKÁCH s.r.o.;0,00;0,00;;;;
Lekáreň SIMBA, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň SIMBA, s.r.o.;0,00;0,00;;;;
SUISSE PHARMACIA, spol. s r.o.;Košice - Západ;Košický kraj;Okres Košice II;SUISSE PHARMACIA, spol. s r.o.;0,00;0,00;;;;
SLOVPOL Krompachy s.r.o.;Krompachy;Košický kraj;Okres Spišská Nová Ves;SLOVPOL Krompachy s.r.o.;0,00;0,00;;;;
PHARMEDIA spoločnosť s ručením obmedzeným Košice;Košice - Západ;Košický kraj;Okres Košice II;PHARMEDIA spoločnosť s ručením obmedzeným Košice;0,00;0,00;;;;
PHARMSTORE spol. s r.o.;Košice - Západ;Košický kraj;Okres Košice II;PHARMSTORE spol. s r.o.;0,00;0,00;;;;
Lekáreň DOM ZDRAVIA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň DOM ZDRAVIA s.r.o.;650,00;0,00;;650,00;;
KONEX MEDIK, spol. s r.o.;Košice - Juh;Košický kraj;Okres Košice IV;KONEX MEDIK, spol. s r.o.;0,00;0,00;;;;
Lekáreň L. PASTEURA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň L. PASTEURA s.r.o.;0,00;0,00;;;;
ASH s.r.o.;Košice - Staré Mesto;Košický kraj;Okres Košice I;ASH s.r.o.;32 400,00;;;;;
ASTEN spol. s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;ASTEN spol. s.r.o.;4 870,00;0,00;;4 870,00;;
DRUG PHARMA, spol s r.o.;Košice - Západ;Košický kraj;Okres Košice II;DRUG PHARMA, spol s r.o.;0,00;0,00;;;;
Lekáreň Vysoká pri Morave s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň Vysoká pri Morave s.r.o.;0,00;0,00;;;;
Bio G medipharma, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Bio G medipharma, s.r.o.;0,00;0,00;;;;
Lekáreň MAX TT, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň MAX TT, s.r.o.;0,00;0,00;;;;
EUROPHARMA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;EUROPHARMA s.r.o.;0,00;0,00;;;;
Lekáreň HEYDUKOVA, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň HEYDUKOVA, s.r.o.;2 330,00;0,00;;2 330,00;;
Lekáreň ŠUSTEKOVA, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň ŠUSTEKOVA, s.r.o.;1 908,84;;;1 908,84;;
MIRAKL PHARMA s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;MIRAKL PHARMA s.r.o.;0,00;0,00;;;;
Lekáreň TEHELNÁ, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň TEHELNÁ, s. r. o.;0,00;0,00;;;;
Lekáreň AMETYST, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň AMETYST, s.r.o.;7 200,00;;;7 200,00;;
TRNÁVKA, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;TRNÁVKA, s.r.o.;0,00;0,00;;;;
Lekáreň OPTIMA KE, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň OPTIMA KE, s.r.o.;0,00;0,00;;;;
Lekáreň PRED NEMOCNICOU MT, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň PRED NEMOCNICOU MT, s.r.o.;1 800,00;0,00;;1 800,00;;
Lekáreň POPRAD, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň POPRAD, s.r.o.;6 133,00;0,00;200,00;5 933,00;;
EURO FARMÁCIA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;EURO FARMÁCIA s.r.o.;0,00;0,00;;;;
Lekáreň CENTRUM GA, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň CENTRUM GA, s. r. o.;0,00;0,00;;;;
Lekáreň CENTRO, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň CENTRO, s. r. o.;0,00;0,00;;;;
Lekáreň HORNÁD SN, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň HORNÁD SN, s.r.o.;1 370,00;0,00;950,00;420,00;;
Lekáreň Krompachy s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň Krompachy s.r.o.;0,00;0,00;;;;
smile, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;smile, s.r.o.;360,00;;;;;
Markont-n, s.r.o.;Rožňava;Košický kraj;Okres Rožňava;Markont-n, s.r.o.;0,00;;;;;
BETULA, spol. s .r.o. Košice;Košice - Staré Mesto;Košický kraj;Okres Košice I;BETULA, spol. s .r.o. Košice;0,00;0,00;;;;
Evison s.r.o.;Ruskov;Košický kraj;Okres Košice - okolie;Evison s.r.o.;0,00;0,00;;;;
Novozit, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Novozit, s.r.o.;0,00;0,00;;;;
Lekáreň DANUBIA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň DANUBIA s.r.o.;0,00;0,00;;;;
"LEKÁREŇ ""U RAKA"" s.r.o.";Košice - Juh;Košický kraj;Okres Košice IV;"LEKÁREŇ ""U RAKA"" s.r.o.";0,00;0,00;;;;
Drugcomfort s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Drugcomfort s.r.o.;0,00;0,00;;;;
Medistav;Michaľany;Košický kraj;Okres Trebišov;Medistav;0,00;0,00;;100,00;;100,00
PHARMA MEDA;Kostoľany nad Hornádom;Košický kraj;Okres Košice - okolie;PHARMA MEDA;0,00;0,00;;;;
Lekáreň na poliklinike s.r.o.;Košice - Staré Mesto;Košický kraj;Okres Košice I;Lekáreň na poliklinike s.r.o.;0,00;0,00;;;;
pharmax L.H. sro;Veľké Kapušany;Košický kraj;Okres Michalovce;pharmax L.H. sro;0,00;0,00;;;;
Lekaren FICARIA s.r.o;Kráľovský Chlmec;Košický kraj;Okres Trebišov;Lekaren FICARIA s.r.o;0,00;0,00;;;;
CASSIA s.r.o.;Košice - Sídlisko KVP;Košický kraj;Okres Košice II;CASSIA s.r.o.;0,00;0,00;;;;
Valo s.r.o;Veľká Ida;Košický kraj;Okres Košice - okolie;Valo s.r.o;0,00;0,00;;;;
TRUSTY s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;TRUSTY s.r.o.;250,00;0,00;;250,00;;
KVAPKA ZDRAVIA spol. s r.o.;Kráľovský Chlmec;Košický kraj;Okres Trebišov;KVAPKA ZDRAVIA spol. s r.o.;735,27;0,00;;;;
PHARMAKRAFT s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;PHARMAKRAFT s.r.o.;0,00;0,00;;;;
BRL Slovakia s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BRL Slovakia s.r.o.;0,00;0,00;;;;
Pharmafit s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Pharmafit s.r.o.;0,00;0,00;;;;
MEDISELL s.r.o.;Košice - Vyšné Opátske;Košický kraj;Okres Košice IV;MEDISELL s.r.o.;0,00;0,00;;;;
MEDILEK s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;MEDILEK s.r.o.;0,00;0,00;;;;
Medicomfort s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Medicomfort s.r.o.;0,00;0,00;;;;
ecisok .s.r.o;Košice - Sídlisko KVP;Košický kraj;Okres Košice II;ecisok .s.r.o;0,00;0,00;;;;
DRUGPLANT s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;DRUGPLANT s.r.o.;0,00;0,00;;;;
STARLINE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;STARLINE s.r.o.;0,00;0,00;;;;
REDMOON s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;REDMOON s.r.o.;;;;;;
HEALTH-LINE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;HEALTH-LINE s.r.o.;1 044,00;;;1 044,00;;
PHARMASHOP s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;PHARMASHOP s.r.o.;0,00;0,00;;;;
ATRIUM SNV s.r.o;Spišská Nová Ves;Košický kraj;Okres Spišská Nová Ves;ATRIUM SNV s.r.o;0,00;0,00;;;;
CASTILION s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;CASTILION s.r.o.;0,00;0,00;;;;
Prameň Zdrav. spol. s r.o.;Valaliky;Košický kraj;Okres Košice - okolie;Prameň Zdrav. spol. s r.o.;0,00;0,00;;;;
Lekáreň BS, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň BS, s.r.o.;600,00;0,00;;600,00;;
Lekáreň V KAUFLANDE BB, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň V KAUFLANDE BB, s.r.o.;0,00;0,00;;;;
Lekáreň SNINA, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň SNINA, s.r.o.;0,00;0,00;;;;
Lekáreň NZ, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň NZ, s.r.o.;700,00;0,00;;700,00;;
lekaren Valeriana, s.r.o.;Michalovce;Košický kraj;Okres Michalovce;lekaren Valeriana, s.r.o.;0,00;0,00;;;;
Zdravie pri práci s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Zdravie pri práci s.r.o.;0,00;0,00;;;;
Železničná Lekáreň s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Železničná Lekáreň s.r.o.;0,00;0,00;;;;
LEKÁREŇ - NÁRODNÁ žILINA, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;LEKÁREŇ - NÁRODNÁ žILINA, s.r.o.;0,00;0,00;;;;
Lekáreň PHARMACY s.r.o.;Košice - Sever;Košický kraj;Okres Košice I;Lekáreň PHARMACY s.r.o.;0,00;0,00;;;;
BLUE-CROSS s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BLUE-CROSS s.r.o.;1 500,00;;1 500,00;;;
MEDICATE s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;MEDICATE s.r.o.;0,00;0,00;;;;
MED-STORE s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;MED-STORE s.r.o.;0,00;0,00;;;;
IMPROVE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;IMPROVE s.r.o.;0,00;0,00;;;;
SANATIVE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SANATIVE s.r.o.;0,00;0,00;;;;
