PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
MojeLIEKY.sk s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
ALLERGAN SK s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;190 808,00;127 740,00;12 095,00;6 340,00;23 321,60;
Shire Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;31 422,07;;29 652,00;22 678,00;26 829,96;13,00
BENU SK 58, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 841,00;;;
BENU SK 59, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 673,00;;;
BENU SK 60, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 383,00;;;
BENU SK 63, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 281,60;;;
BENU SK 62, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 489,00;;;
BENU SK 67, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 229,50;;;
BENU SK 66, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 058,00;;;
Medimex SK s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Popharm;Nová Dedinka;Okres Senec;Bratislavský kraj;;;;;;
Medical Solutions Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
Apocare s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 253,52;0,00;;;;
PASCOE Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;9 869,30;2 788,09;500,00;260,00;;
Santen OY;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;8 991,00;
INLEK;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;3 161,42;;;;;
BENU SK 23, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 073,00;;;
URSAPHARM spol. s r.o., organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;18 198,58;0,00;;;1 536,32;
BENU SK 27, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 954,00;;;
BENU SK 72, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 316,00;;;
BENU SK 73, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 365,00;;;
BENU SK 78, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 850,00;;;
BENU SK 70, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 405,00;;;
Theopharm s.r.o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;180,00;;;;;
TOPLEK;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 548,00;;;;;
Medavit;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;;;;;113,86;
Univerzitná lekáreň;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
MARCOM, s.r.o;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;1 200,00;;
PHARMAVIT spol. s r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICENTRUM, spol. s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;6 320,00;;
FERUMI spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;4 855,90;0,00;;4 855,90;;
Lekáreň NA MIKLOVKÁCH s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;73,20;;;;
Lekáreň SIMBA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SUISSE PHARMACIA, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SLOVPOL Krompachy s.r.o.;Krompachy;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
SyndiPharma, s.r.o. Košice;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMEDIA spoločnosť s ručením obmedzeným Košice;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMSTORE spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň DOM ZDRAVIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MULTIPHARM s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
CENTRUM OROPEDICKEJ PROTETIKY s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
KONEX MEDIK, spol. s r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň L. PASTEURA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;6,00;;;;
ASH s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;1 518,17;0,00;;;;
Lekáreň Na Tarči;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;;;;;;
ASTEN spol. s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;543,00;;
DRUG PHARMA. spol s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Vysoká pri Morave s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BIO G medipharma,s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň MAX TT, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EUROPHARMA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň HEYDUKOVA s.r.o;Košice - Západ;Okres Košice II;Košický kraj;1 730,00;0,00;;1 730,00;;
Lekáreň Šustekova s.r.o;Košice - Juh;Okres Košice IV;Košický kraj;1 193,00;0,00;;1 193,00;;
MIRAKL PHARMA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň TEHELNÁ s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Trnávka s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň OPTIMA KE, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň PRED NEMOCNICOU MT , s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň POPRAD, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;6 800,00;0,00;;6 800,00;;
EURO FARMÁCIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;3 600,00;;
Lekáreň CENTRUM GA s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
LekáreŇ CENTRO s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň Hornád SN, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 350,00;0,00;;1 350,00;;
Lekáreň Krompachy, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Medirea s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
smile, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;;;;
MARKONT-n;Rožňava;Okres Rožňava;Košický kraj;284,00;;;;;
Evision, spol. s r.o.;Ruskov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
PPK, s.r.o.;Turňa nad Bodvou;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Novozit, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň DANUBIA s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;73,20;0,00;;;;
Drugcomfort s.r.o;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Tilia-Mi;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Lekáreň na poliklinike s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
Pharmax LH;Veľké Kapušany;Okres Michalovce;Košický kraj;0,00;0,00;;;;
CASSIA s.r.o.;Košice - Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
Valo s.r.o;Veľká Ida;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Pharm-bes s.r.o.;Trebišov;Okres Trebišov;Košický kraj;0,00;0,00;;;;
Pharma.Tv s.r.o.;Trebišov;Okres Trebišov;Košický kraj;0,00;0,00;;;;
TRUSTY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;210,40;0,00;;;;
kvapka zdravia spol. s r.o.;Kráľovský Chlmec;Okres Trebišov;Košický kraj;;;;;;
Chamomila,spol. s r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
PHARMAKRAFT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BRL Slovakia s.r.o;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Pharmafit s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDIC TRADE s.r.o.Lekáreň Zdravomax;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Medisell s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Medicomfort s. r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;400,00;;
DRUGPLANT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;12,00;;;;
STARLINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
REDMOON, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
HEALTH-LINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMASHOP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ATRIUM SNV s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;360,00;0,00;;;;
CASTILION s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Prameň Zdrav spol. s r.o.;Valaliky;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Lekáreň BS, s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;1 950,00;;
Lekáreň V KAUFLANDE BB, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň SNINA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;15,00;0,00;;;;
Lekáreň NZ, s.r.o;Košice - Západ;Okres Košice II;Košický kraj;332,00;0,00;;332,00;;
Železničná Lekáreň s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lingov, s.r.o.;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
Fortunapharm s.r.o.;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Cassoviapharm s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;800,00;0,00;;;;
LEKÁREŇ - NÁRODNÁ ŽILINA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
LEKÁREŇ - HLAVNÁ ŠAĽA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Graphites s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;;;;;;
JKF s.r.o.;Košice - Sídlisko KVP;Okres Košice II;Košický kraj;;;;;;
Lekáreň u Premonštrátov, s.r.o.;Jasov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
CS Pharma s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Lekáreň PHARMACY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;;;;
VERBENA KOŠICE s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
HEALTHSTORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
BLUE-CROSS s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICATE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DRUGMARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MED - STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDICABLE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
IMPROVE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SANATIVE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
RECEPIS s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDICAMENT s.r.o.;Ždaňa;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
HEALTH CENTRUM s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Elixirpharm s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
ARTKE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;;;;
Lekáreň 16, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;2 569,00;;
Lekáreň 17, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;4 500,00;0,00;;4 500,00;;
REFARM s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň 18, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Red-pharmacy, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Sun-care, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;6,00;0,00;;;;
GREEN-MARKET s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RED-DROP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EXPIRO s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
STADUS s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Green-pharmacy, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Pharmacy - Market s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
RED-MARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DROP-STORE;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
GREEN-DROP, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MOONLINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
GREEN-ROAD s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
IMMUNO-PHARMA s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
IMMUNO-STAR s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
GREEN-STRAP s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
FIRST-STORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Abc-store, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
NATURAL-DROP s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
BODY-STAR s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RED-STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PILL-MARKET, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DRUG-CITY s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
PILL-STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Blue-strap s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Natural-care, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
NATURAL-MARKET s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BLUE-STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SI PHARMA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň 20 ,s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;7 082,00;;
SOLANUM, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
KALT, s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
SECRETEX s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MONIQ, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
VERBO s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň sv. Agáty, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
EKSEN s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
BUTYKS s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BORSI, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
TEMPEL, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Needham s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Hillrose s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Timphu, s.r.o.;Košice - Šebastovce;Okres Košice IV;Košický kraj;0,00;0,00;;;;
COOL LIFE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SAVE LIFE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
STRONG LIFE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDECINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ACIDUS s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;800,00;0,00;;800,00;;
NEW - FIRST s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Codrington s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 19 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 20 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 23 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 400,00;0,00;;1 400,00;;
Dr.Max 21 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 18 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 7 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;5 750,00;0,00;;5 750,00;;
Dr.Max 15 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 14 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr. Max 17 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 9 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;1 000,00;;
Dr. MAX 10 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 8 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;3 000,00;0,00;;3 000,00;;
Dr.Max 22 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;3 729,80
Dr.Max 11 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 5 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 12 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 6 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr. Max 4 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 28 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 3 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 26 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;12,00;;;;
Dr.Max 2 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 30 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 1 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr. max 27 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 25 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 29 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 16 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
wesper pharm s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD1 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD23 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD3 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 500,00;0,00;;1 500,00;;
SD21 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;120,12;0,00;;;;
SD4 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;14 800,00;;
SD 5 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD34 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD33 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD31 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD25 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 800,00;0,00;;1 800,00;;
SD29 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD28 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD30 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD6 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD7;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SD10 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;7 670,28;0,00;;7 500,00;;
SD12 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD13 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
SD14 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;1 000,00;;
SD16 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;225,60;0,00;;;;
SD18 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
PHARMACY III, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMACY X s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
PHARMACY XIV., s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Mellipharm, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Madicor, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Ferox s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
RacioMed s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Omrvinka s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;;;;;
Mild Cure One s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Mild Cure Six, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Mild Cure Three, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Mild Cure Four, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;2 217,12;0,00;;2 100,00;;
Mild Cure Five s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 704 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 703 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SEVERLEK;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Bella Donna s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
UNION PLUS;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 602 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 628 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 626 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 622 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;4 900,00;0,00;;4 900,00;;
Dr.Max 630 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;1 500,00;0,00;;1 500,00;;
Dr.Max 623 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 627 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;36,00;;;;
Dr.Max 631 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr. Max 601 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr. Max 616 s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Dr.Max 39 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 34 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Dr.Max 36 s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;900,00;;;900,00;;
Dr.Max 40 s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
